person	priority	year	cites_at_research_time	venue	title	doi	recommended_use
joint	tier-1	2020	158	Nature Communications	A nanomaterials discovery robot for the Darwinian evolution of shape programmable gold nanoparticles	https://doi.org/10.1038/s41467-020-16501-4	Flagship joint project page
daniel	tier-1	2022	180	Science Advances	An artificial intelligence enabled chemical synthesis robot for exploration and optimization of nanomaterials	https://doi.org/10.1126/sciadv.abo2626	Support/possible separate nanomaterials page
jonathan	tier-1	2020	74	Science Advances	A curious formulation robot enables the discovery of a novel protocell behavior	https://doi.org/10.1126/sciadv.aay4237	Curiosity-driven protocell project page
jonathan	tier-1	2017	126	Angewandte Chemie International Edition	Human versus Robots in the Discovery and Crystallization of Gigantic Polyoxometalates	https://doi.org/10.1002/anie.201705721	Human-versus-robot discovery project page
daniel	tier-2	2018	76	Nature Communications	Networking chemical robots for reaction multitasking	https://doi.org/10.1038/s41467-018-05828-8	Networked chemical robots project page
daniel	tier-2	2020	42	ACS Central Science	A Modular Programmable Inorganic Cluster Discovery Robot for the Discovery and Synthesis of Polyoxometalates	https://doi.org/10.1021/acscentsci.0c00415	Inorganic cluster discovery robot project page
daniel	tier-2	2023	33	ACS Central Science	Robotic Modules for the Programmable Chemputation of Molecules and Materials	https://doi.org/10.1021/acscentsci.3c00304	Robotic chemputation modules project page
daniel	tier-2	2021	63	Journal of the American Chemical Society	Robotic Stepwise Synthesis of Hetero-Multinuclear Metal Oxo Clusters as Single-Molecule Magnets	https://doi.org/10.1021/jacs.1c06047	Supporting work for inorganic cluster page
jonathan	tier-2	2018	39	Proceedings of the National Academy of Sciences	Artificial intelligence exploration of unstable protocells leads to predictable properties and discovery of collective behavior	https://doi.org/10.1073/pnas.1711089115	Supporting work for protocell page
jonathan	tier-2	2017	39	Nature Communications	Adaptive artificial evolution of droplet protocells in a 3D-printed fluidic chemorobotic platform with configurable environments	https://doi.org/10.1038/s41467-017-01161-8	Supporting work for protocell page
jonathan	tier-2	2019	43	Journal of Chemical Information and Modeling	Intuition-Enabled Machine Learning Beats the Competition When Joint Human-Robot Teams Perform Inorganic Chemical Experiments	https://doi.org/10.1021/acs.jcim.9b00304	Supporting work for human-robot discovery page
daniel	later	2021	76	Cell Reports Physical Science	Optimization of Formulations Using Robotic Experiments Driven by Machine Learning DoE	https://doi.org/10.1016/j.xcrp.2020.100295	Later page or supporting formulation automation proof
daniel	later	2024	23	Journal of the American Chemical Society	Algorithm-Driven Robotic Discovery of Polyoxometalate-Scaffolding Metal-Organic Frameworks	https://doi.org/10.1021/jacs.4c09553	Later page or supporting inorganic discovery proof
daniel	later	2026	3	Digital Discovery	AI-driven robotic crystal explorer for rapid polymorph identification	https://doi.org/10.1039/d5dd00203f	Later/new work, revisit after review
